ETH Address,PRL Tokens
0xfc190faEcea90Cf6B8B34209a5e503f58aC088CF,35340.4
0x28bfaA6329e157A6CbE01a6038c4A28547Af2896,68013.6
0x8232082CA9bA48abF393C117811e756C0a65c562,23004.6
0x9fdF3123A1822971ceBd7F325b966515746E99a4,70014
0x662b99b959228b9a7F93B5470d870b5BbE298713,56678
0x8D934E5863e8d82e050c7eDaB0aC6dB33bFEF19e,21004.2
0x1394dfB6B6819A52eEEeE17Fa145a3be4D614c4E,23338
0xc920b3AfD4b13124542fc28731bef343E21DDd31,23338
0xADfE3275914aAA4f71998464F6665109e35c42F7,19670.6
0x46961Cf36204C21D79798B5774f3F1762F35c785,21337.6
0x5dE6c3f8ed7815d2199F3aCDd370c7fC00EDBC7D,19670.6
0x2F5A1ADa406DECf861b155DB4B31d3314b764AEF,11669
0xEa93Dea668c4f856F1f62E4dd23b0253FD81d3eA,23338
0x75611816A0AEB8796C10c00a646701b96acE8Bfc,23004.6
0xbe18D193B4487a4F40AE3beD881ae6C7658094ae,19003.8
0xd178577418C58b6C77761F5E0D4e98badFc68Fd6,19337.2
0x6aA2F76271304A0F590fa2E0396C0c6B81729149,20670.8
0xbe065A817a5Dfc49D878BE3f499C95e0e51Aaa57,8335
0xe705df7054F2D72CE96C5f28F33D0e1B7A429f3d,18003.6
0xb1247517DA7891344958d4AC7D15fBf17F33316f,22004.4
0xEA408B0667Dd87e555439A257B70aFe7A0608E45,11335.6
0x241d40E541aC00426483915Ee671Be395Dfe3d04,11669
0x2597819a031F047AE6C18414A97719D50DA70Bd3,15336.4
0xeF5125025B8593E3D486BD68f344c836182688c1,8001.6
0xdd12d76573BFFdd7e1E70359EB65e83910A0f35E,2493.327715
0x9eb429cB38AD55553A6E83CcACD178C7fd27A26A,4073.605844
0x3B3173B5cb3c1ec3ff75f6049Bd55fd8f0519ba3,5934.822307
0x809C51e868c3977139e13CB99333EAa0e7915BDB,4073.605844
0x38dC4BF0CAd0Eae583A5708119D5679C43069620,4424.778761
0x689feedD16534ca4b41DF24d74785A01Dc887759,5302.711055
0xec02aF8919CD85BedB50A8Aa8275fe04e1703951,6005.05689
0x431f2D60E1D41DEC50898E31F19b5998fE281224,2879.617924
0x27FE8F2B6465708A0232B53B8df7f70Af4552E42,6005.05689
0x0e2e2b5E53fCDD29D7f048eAf3DC3583B06ca862,5302.711055
0x623f3286A5e8AeA561941280Bd2A21Cf186D4a20,6005.05689
0xD1ccEE2b4c8Af8bB69A1D47B8de22a2C73c04F7A,4249.192302
0x94605885e08EDEbc3F3727A843d268bD8737Ce01,5408.06293
0x968C7EBe1D9C858CA37dC39584aF8c0312DdC114,2668.914173
0x0fce046251322106304B80d15b09CAa64B010522,3195.67355
0xE69e7d52c133f1Fe56fE80613cB158037c509254,3195.67355
0x0811a0708dDD83F69ACD34706EfC0D4828aBd58A,3195.67355
0xcFa58dE30c5d0C986e2271470EDCDE381ddE4d30,2844.500632
0x5b66FB0Cfa931a2fc8FA17779Ef26A1b9bb3D6E5,4951.538137
0xDf0782EE3c2d1F90437bd7c96d9123ab4d37c34e,6005.05689
0x07Cdd8B0c6c1129Ffbe61152CE50D744a85aA3C0,3195.67355
0xeDB182bD13948eB26c824Fc9F9f13d89C7A14D48,5724.118556
0x4986ac8522E8831e71439C529E514022596c301B,6005.05689
0x7A141bE340A37e049FEA857875b98c02fACA1ee2,5337.828347
0x0828CfEDAa17a947b12f267c1A114A6bf3bb01d9,70.23458351
0x8807aF0Bca19ee4D79dF40B23ac2f442d42569d2,1615.395421
0xd82CbA09B9C108676EAA4185d9725d9C46eFaAF8,3195.67355
0x394c426b70C82aC8eA6e61b6bb1c341d7B1B3fe9,1615.395421
0x9426C84f79F8638accA04082DC23651F61830783,3125.438966
0xDB39A479d928b0555040bca8A26C6998F6fF729b,4214.075011
0xa0c53c510299e9FeB696F6354Db7fD9dC61acd10,5443.180222
0x87379c15810e77502e436Ab8f06794cC662D39a5,5829.470431
0x132948dD4D9445dCF52F0393B6DC447CD9A07710,5583.649389
0x01504415AF54334Db2D7F1e72909Dbe13895e33c,2774.266049
0xF877ebb29085eD4690f7b190B883572D946B90A4,3195.67355
0xeeF53f17eCE62acb94820D17a53C8FA7610A8Ab9,5478.297514
0x3FFC937781F3D1B565d5ea019a54C4691260cBA1,913.0495856
0x81955fBe886B258FCC69eB2899ce5E3fC0b32792,386.2902093
0xf573353a424CA1b38786768aaFd919509c5f889F,2563.562298
0x3e109FF9E1BCa683f3CE7296c141983004876e37,3125.438966
0x299CC550Eb4B739DB84c7864d793DDbDfEef76c6,1755.864588
0xfCFc5CCbc8885955d9345e112c6d1553a7C54010,3195.67355
0x390C9a8C8dF06123389704967C50206034fDbEf3,5794.353139
0x38223B8EBc6D6F404F887DF06C334c4702a55711,210.7037505
